站点,服务,基准价,最优定价,markup
H,助餐,10.0,11.0,0.1
H,日间照料,20.0,21.0,0.05
H,上门护理,30.0,45.0,0.5
H,康复理疗,28.0,30.8,0.1
H,助浴,25.0,37.5,0.5
H,紧急救助,0.0,0.0,0.0
J,助餐,10.0,10.0,0.0
J,日间照料,20.0,20.0,0.0
J,上门护理,30.0,30.0,0.0
J,康复理疗,28.0,25.2,-0.1
J,助浴,25.0,22.5,-0.1
J,紧急救助,0.0,0.0,0.0
C,助餐,10.0,11.0,0.1
C,日间照料,20.0,23.0,0.15
C,上门护理,30.0,45.0,0.5
C,康复理疗,28.0,29.4,0.05
C,助浴,25.0,25.0,0.0
C,紧急救助,0.0,0.0,0.0
G,助餐,10.0,10.0,0.0
G,日间照料,20.0,20.0,0.0
G,上门护理,30.0,30.0,0.0
G,康复理疗,28.0,28.0,0.0
G,助浴,25.0,27.5,0.1
G,紧急救助,0.0,0.0,0.0
