站点,服务,基准价,统一markup,标价
C,助餐,10.0,0.0,10.0
C,日间照料,20.0,0.0,20.0
C,上门护理,30.0,0.0,30.0
C,康复理疗,28.0,0.0,28.0
C,助浴,25.0,0.0,25.0
C,紧急救助,0.0,0.0,0.0
G,助餐,10.0,-0.1,9.0
G,日间照料,20.0,-0.1,18.0
G,上门护理,30.0,-0.1,27.0
G,康复理疗,28.0,-0.1,25.2
G,助浴,25.0,-0.1,22.5
G,紧急救助,0.0,-0.1,0.0
H,助餐,10.0,0.0,10.0
H,日间照料,20.0,0.0,20.0
H,上门护理,30.0,0.0,30.0
H,康复理疗,28.0,0.0,28.0
H,助浴,25.0,0.0,25.0
H,紧急救助,0.0,0.0,0.0
J,助餐,10.0,-0.2,8.0
J,日间照料,20.0,-0.2,16.0
J,上门护理,30.0,-0.2,24.0
J,康复理疗,28.0,-0.2,22.4
J,助浴,25.0,-0.2,20.0
J,紧急救助,0.0,-0.2,0.0
